role,skills
Python Developer,"Python, Git, SQL, APIs, Data Structures"
Data Analyst,"Python, SQL, Pandas, NumPy, Statistics, Excel, Data Visualization"
Machine Learning Engineer,"Python, NumPy, Pandas, Scikit-learn, Machine Learning, Statistics, Git"
AI Engineer,"Python, Machine Learning, Deep Learning, NLP, TensorFlow, PyTorch, Git"
Data Scientist,"Python, SQL, Pandas, NumPy, Statistics, Machine Learning, Data Visualization"
Backend Developer,"Python, APIs, SQL, Git, Databases, Data Structures"
Frontend Developer,"HTML, CSS, JavaScript, React, Git"
Full Stack Developer,"HTML, CSS, JavaScript, React, Python, APIs, SQL, Git"
DevOps Engineer,"Linux, Git, Docker, CI/CD, Cloud, Python"
Cloud Engineer,"Cloud, Linux, Networking, Docker, Python, Git"
